n_shots,base_seed,sample_seed,pr_auc,roc_auc,bacc,dice_global,dice_pos_mean,miou,f1_1,f1_macro,prec1,rec1,cm_TN_FP_FN_TP,pix_specificity,pix_f1,pix_prec,pix_rec
200,43,3,0.5732349725092782,0.513969387755102,0.5241326530612245,0.04225145599172887,0.03752263979035981,0.5071334694704033,0.6504347826086957,0.5061697722567288,0.5666666666666667,0.763265306122449,"[57, 143, 58, 187]",0.9955134238365996,0.042251455508968236,0.034808995061799644,0.05374194318453011
400,43,3,0.5863037187104833,0.5118367346938775,0.49581632653061225,0.14085173789540947,0.07538842595353419,0.5357666592893111,0.676056338028169,0.4256775714045228,0.5482233502538071,0.8816326530612245,"[22, 178, 29, 216]",0.998423901285891,0.14085173741185741,0.18065480360561909,0.11542134160897416
1777,43,3,0.8784217146073077,0.8243265306122449,0.732295918367347,0.7014716318707143,0.4321877537941446,0.7693854308808343,0.7655310621242485,0.7331491627756792,0.7519685039370079,0.7795918367346939,"[137, 63, 54, 191]",0.9998873830166941,0.7014716313995921,0.9374313666766264,0.5604111959894879
10,43,4,0.5477934097412991,0.49071428571428577,0.5016836734693878,0.023494820535187855,0.017414209802577994,0.5043370512440728,0.40414507772020725,0.4738979356855004,0.5531914893617021,0.3183673469387755,"[137, 63, 167, 78]",0.9997495204232494,0.0234948203619605,0.1340270228296111,0.012875984721890473
25,43,4,0.5628256453643741,0.5063367346938775,0.519795918367347,0.0039494735524099045,0.009526809016052558,0.46837644953603474,0.6541095890410958,0.49698943504342374,0.5634218289085545,0.7795918367346939,"[52, 148, 54, 191]",0.9374674322645007,0.003949473464241968,0.002069618615240908,0.04307412270231494
50,43,4,0.5537628511320927,0.508,0.5195918367346939,0.014693485973422836,0.02928602804943007,0.4879658808704713,0.6469565217391304,0.501256038647343,0.5636363636363636,0.7591836734693878,"[56, 144, 59, 186]",0.9712187915743989,0.014693485801701628,0.008109049532080892,0.07815111005013013
100,43,4,0.5545168881380531,0.475969387755102,0.468265306122449,0.07342727300035118,0.027048955617895176,0.517604404606404,0.524390243902439,0.46822527270498837,0.5222672064777328,0.5265306122448979,"[82, 118, 116, 129]",0.9999828850934824,0.07342727290634504,0.8708474576268235,0.03832955359274232
200,43,4,0.5710222869637728,0.4894081632653061,0.5134183673469388,0.16076502875136872,0.060704775732390734,0.5422555559510316,0.463768115942029,0.4986907806600901,0.5680473372781065,0.39183673469387753,"[127, 73, 149, 96]",0.999827054094245,0.1607650285137755,0.6167247386758967,0.09242957746478735
400,43,4,0.5907373906030142,0.508,0.5045918367346939,0.1881288566989947,0.07799326789622404,0.5503918901010254,0.556910569105691,0.5045859378191772,0.5546558704453441,0.5591836734693878,"[90, 110, 108, 137]",0.9996011912334304,0.18812885636926563,0.47025478847183777,0.11758474576271011
1777,43,4,0.8685081121850347,0.8122448979591836,0.6938265306122449,0.7045778552221412,0.44510609373754384,0.7712379547957945,0.758364312267658,0.6945230652247381,0.6962457337883959,0.8326530612244898,"[111, 89, 41, 204]",0.9998881915949548,0.7045778547503854,0.9382336154055901,0.5640964430651623
10,44,0,0.5601817088898677,0.5014693877551021,0.5138265306122449,0.06361395643801958,0.027636439686888274,0.5147328144542985,0.49074074074074076,0.5051956978812874,0.5668449197860963,0.4326530612244898,"[119, 81, 139, 106]",0.9994993552936001,0.06361395614442099,0.1872675563333926,0.03831463356409587
25,44,0,0.5555929336761889,0.5052755102040816,0.49887755102040815,0.008651013615851137,0.020661306046709724,0.47490855299951273,0.6476510067114094,0.46668264621284755,0.5498575498575499,0.7877551020408163,"[42, 158, 52, 193]",0.9480938576082902,0.008651013511828802,0.0045752574282246225,0.07924027214132133
