checkpoint,dataset,kind,n_samples,n_bonafide,n_attack,pr_auc,roc_auc,bacc,f1_1,f1_macro,prec1,rec1,cm_TN_FP_FN_TP,dice_global,dice_pos_mean,miou,pix_specificity,pix_f1,pix_prec,pix_rec
model_multitask_seed69.pt,sidtd,templates,2222,1000,1222,0.5621715018469343,0.5251505728314239,0.5127618657937807,0.6825245797653029,0.45357832396475833,0.5572242361470741,0.8805237315875614,"[145, 855, 146, 1076]",0.009782283587557648,0.01907359762662559,0.4695454791410752,0.936940795395724,0.009782283493710516,0.005144702750665483,0.0992403205222999
model_multitask_seed70.pt,sidtd,templates,2222,1000,1222,0.5581728439178965,0.5057896890343698,0.5070335515548281,0.6766486142083467,0.44943541821528443,0.5539906103286385,0.8690671031096563,"[145, 855, 160, 1062]",0.004705151395572326,0.010459086184339387,0.47476712057210574,0.950169851465254,0.0047051512795863795,0.0025073225563557624,0.0381181638432003
model_multitask_seed71.pt,sidtd,templates,2222,1000,1222,0.5562986741937039,0.5096100654664484,0.5002144026186579,0.6705017577500799,0.4432356697495647,0.5500786575773466,0.8584288052373159,"[142, 858, 173, 1049]",0.005007201127664387,0.00841677329105168,0.4743490153919658,0.9491687528736545,0.0050072010137019035,0.002665012642654715,0.0413359842696505
model_outer1.pt,sidtd,templates,2222,1000,1222,0.5638571450346423,0.5063887070376432,0.5009369885433715,0.6544971788914703,0.46351693326124876,0.5505304299274149,0.806873977086743,"[195, 805, 236, 986]",0.004984604575556287,0.00765016626251072,0.4734273708539015,0.9473272832715767,0.0049846044651093765,0.002647371090816738,0.04254917103468662
model_outer10.pt,sidtd,templates,2222,1000,1222,0.5467705840229581,0.499231178396072,0.5001669394435352,0.6636363636363637,0.4520527859237537,0.55005382131324,0.8363338788870703,"[164, 836, 200, 1022]",0.0032820202458252097,0.007944761397580359,0.4632382972408587,0.9277570242434353,0.0032820201626108905,0.0017155228831926132,0.037781319662388915
model_outer2.pt,sidtd,templates,2222,1000,1222,0.5501613156408902,0.5085572831423895,0.5034476268412439,0.6909424724602203,0.41604946752262717,0.5518084066471163,0.9238952536824877,"[83, 917, 93, 1129]",0.006830907283356575,0.013144040112539354,0.4733103544261913,0.9461080087545374,0.0068309071752160316,0.0036229490932062547,0.05963511285649326
model_outer3.pt,sidtd,templates,2222,1000,1222,0.5540015418474584,0.49601595744680854,0.5013510638297872,0.6719846841097639,0.44362592984114146,0.5507322175732218,0.8617021276595744,"[141, 859, 169, 1053]",0.004339566740600042,0.007635718155100079,0.47238826959015645,0.9455811019711892,0.004339566633261248,0.002300498870373224,0.03818662810759286
model_outer4.pt,sidtd,templates,2222,1000,1222,0.5394466269431726,0.48988993453355156,0.5088436988543372,0.6492004083021435,0.48207528720755016,0.5556202679091439,0.7806873977086743,"[237, 763, 268, 954]",0.009423528402293178,0.015751724618575085,0.4784985353729687,0.9551752004424386,0.009423528275395035,0.005055420875272919,0.06931322127102518
model_outer5.pt,sidtd,templates,2222,1000,1222,0.552823908458946,0.5065949263502454,0.5022618657937807,0.6780088216761184,0.4366422061136498,0.5512295081967213,0.8805237315875614,"[124, 876, 146, 1076]",0.006176740754479403,0.013964465844449504,0.4690673418034622,0.9379198829205623,0.006176740659136598,0.003251308694010717,0.06162605366502884
model_outer6.pt,sidtd,templates,2222,1000,1222,0.559890206226632,0.5107704582651391,0.5002635024549918,0.6824114356743319,0.42440310772297346,0.5501002004008017,0.8985270049099836,"[102, 898, 124, 1098]",0.005523097003124314,0.009775701293985719,0.4667394599414391,0.9335883551486162,0.0055230969133860126,0.002897789813771608,0.05873686170766291
model_outer7.pt,sidtd,templates,2222,1000,1222,0.5599197075128667,0.5080638297872341,0.4985851063829787,0.6922844175491679,0.3996979594330563,0.5492078732597215,0.9361702127659575,"[61, 939, 78, 1144]",0.006416447521947372,0.01183090618672087,0.46871184652295617,0.9370758134029543,0.0064164474277675805,0.003375194140294681,0.06485208980320614
model_outer8.pt,sidtd,templates,2222,1000,1222,0.5415223886643687,0.4933445171849427,0.5010425531914894,0.7018688816374963,0.38262130009181433,0.5504885993485342,0.9680851063829787,"[34, 966, 39, 1183]",0.004004831668656066,0.007179624010639415,0.4677106601755409,0.9363566922344795,0.004004831575328876,0.002105584264006375,0.040867688701205405
model_outer9.pt,sidtd,templates,2222,1000,1222,0.5594225960708161,0.5043117839607201,0.501265139116203,0.687960687960688,0.4163709163709164,0.5506391347099312,0.9165302782324058,"[86, 914, 102, 1120]",0.006344637257565135,0.010899173225830106,0.4700658185623967,0.9398388052011413,0.006344637159503086,0.003345008114305716,0.06144804657760818
