trial_number,outer_fold,pruned,time_sec,lr,weight_decay,dropout_rate,alpha,dec_ch,loss_w_mask,val_cls_prauc,val_mask_dice_global,distance_to_ideal
19,7,False,428.9049333999865,0.00010259692658930575,8.113528106319522e-05,0.12093596979585369,0.2,256,1.1725407902912401,0.832510845251093,0.6357118045379136,0.40094701185010295
20,7,False,425.9087552000419,7.046746051222447e-05,5.523525262606246e-05,0.21814559378934226,0.2,256,0.8261416010238577,0.8057366277341964,0.6036548849404243,0.4413929179718117
21,7,False,390.26733529998455,0.00012442016082023856,5.624334110598683e-07,0.10018482682796424,0.2,192,2.9888807704856193,0.7987285876414572,0.6457974675649252,0.4073936860289109
22,7,False,450.53982429997995,5.4247743370361046e-05,1.0400177990779115e-05,0.32853904213246843,0.2,256,2.0076000600735497,0.7783652342119165,0.5575309892668552,0.49487452436461754
23,7,False,449.2087957999902,0.0007622953658183199,2.1682242677211017e-07,0.390074308552413,0.2,256,1.5491748034994661,0.9003195373317603,0.625171941146091,0.3878559891789011
24,7,False,417.00415160000557,0.00023881684705275106,1.3749787968732522e-07,0.21425843106472398,0.2,192,0.9932484766132716,0.929969688516822,0.6432115738338516,0.3635962397667886
25,7,False,315.5586942000082,0.0003888950434465487,3.825038829861181e-05,0.2487482386104188,0.2,96,1.3732162427465842,0.8873074124238821,0.5671394470957539,0.4472894784758195
26,7,False,441.3877814000007,0.0008642032042503412,7.818893705164563e-07,0.12688572349886634,0.2,256,2.6702482171286004,0.929548506769657,0.6882439610768228,0.3196173347981217
27,7,False,311.38811060000444,0.00032519160201685456,1.1074565849342359e-07,0.23819549959703876,0.2,96,1.2562988324441031,0.9057549086426127,0.6071614390979424,0.40398548510628685
28,7,False,402.682509700011,0.00048745916684211086,2.9621493791469903e-06,0.11640485440627196,0.2,192,2.0280369275215087,0.9236540795573995,0.6532497963609611,0.35505549325695945
29,7,False,314.862315699982,0.0003852294671399294,2.6753902344051127e-07,0.32121694973666093,0.2,96,1.2646182592557524,0.8945205927257793,0.6233767615740072,0.3911150330547307
30,7,False,323.60224129998824,0.0008495777239330383,4.7516627503706084e-07,0.26087270357663034,0.2,128,1.2498273787945444,0.889714059618331,0.5600957533100264,0.45351817483067003
31,7,False,404.89841620001243,0.00024017904639254237,1.797266062030635e-06,0.274058027934868,0.2,192,2.533826316735273,0.8517824396471371,0.6933633951639281,0.34057958339035516
32,7,False,317.66613839997444,7.524057091376748e-05,6.341219062025117e-05,0.18086657274979295,0.2,128,0.5574682532890882,0.8288500967352705,0.5801162907884745,0.4534254278806551
33,7,False,399.8943244999973,0.0004211309114745466,6.3314367937435755e-06,0.111043305068089,0.2,192,2.310341144299726,0.8920421780870846,0.6780131187504356,0.3396033613040393
34,7,False,426.106296700018,0.0003618677385641557,1.3457373692006059e-05,0.15388927826225654,0.2,256,1.0642548398213214,0.9516383515367546,0.6659564878939764,0.33752617235143356
35,7,False,308.6137275999645,0.00020374965317545158,2.510293724206304e-06,0.3165193052007085,0.2,128,1.6921375983090075,0.8479423872445737,0.6477399116410716,0.38367784331065985
36,7,False,309.45358929998474,0.00029094224016175006,3.0715625185671055e-05,0.38060364771431543,0.2,128,2.316556376202504,0.8535290466255641,0.6423267676275087,0.3865021103929477
37,7,False,299.2562927000108,0.0006872175746598956,5.123241569447943e-07,0.2434305870801861,0.2,96,1.5976387454952734,0.9018083501236257,0.6113242197467773,0.40088709415606777
38,7,False,424.8343302999856,8.35511830393024e-05,3.149443608473378e-06,0.22348572983730386,0.2,256,2.209218231334698,0.792334500643817,0.6091473365544274,0.44259548590711
39,7,False,430.6985494000255,0.00027819095309459006,1.6788691335769468e-06,0.3525092732738787,0.2,256,0.5618720835424952,0.9241774220310607,0.5923132278168861,0.4146776670414529
40,7,False,421.5621192000108,6.457522376144931e-05,2.3650542341040937e-07,0.18551055788953175,0.2,256,1.9973085497035488,0.7821926360548044,0.5848843134442647,0.46878681830166086
41,7,False,435.0178370999638,0.00011784010608101596,8.540706004555419e-06,0.11891994544340598,0.2,256,1.0217807866600321,0.8522704513775412,0.6301013931527495,0.3983076686228025
42,7,False,308.4976273000357,0.00018641778355663155,1.0496998879201823e-05,0.2521343209171809,0.2,96,2.9387706270977625,0.8235954929790111,0.6430212848239065,0.39818632973281815
43,7,False,402.2103877000045,6.374699357310063e-05,2.966157516090829e-07,0.1569110249133658,0.2,192,0.5593044856014167,0.814277672356092,0.5818505250219607,0.4575388141020181
44,7,False,317.3086018000031,8.63711033446697e-05,6.906569590267036e-05,0.14597596674773872,0.2,128,2.1968908552045074,0.7893900162206037,0.589196099951122,0.4616453287567482
45,7,False,311.908703299996,0.0004466271343415399,3.00887901049649e-05,0.15294364657170773,0.2,96,2.797524737448945,0.8835706226299138,0.6473958122889663,0.3713293862679654
46,7,False,304.09787500003586,0.00022442181874421518,1.1138524957275595e-07,0.10014088392238714,0.2,96,1.8299506858336034,0.8778058950673013,0.6460807580557393,0.3744198567099554
47,7,False,402.8832548999926,7.781053432327172e-05,2.2462279327621586e-07,0.13723791104874536,0.2,192,2.6953469942653876,0.7886259062132674,0.5908948975694792,0.4604845191305016
48,7,False,421.2056046000216,0.00026570966185682405,3.450226312575333e-05,0.3666403224297613,0.2,256,2.704937184518542,0.8381609998499936,0.6916850595757288,0.34820965589480096
49,7,False,391.9801862000022,7.921054189353206e-05,1.9466726733904168e-05,0.22868455314113878,0.2,192,1.197184168583422,0.8011682774898155,0.6055656723315795,0.44171539787470154
0,8,False,403.89067759999307,0.00020884777412135682,4.833361888983586e-07,0.1766421771271634,0.2,192,2.429734987099284,0.8378753767741246,0.6144995500398072,0.41820448392579823
1,8,False,397.77939270000206,0.00045045436316787764,8.511930051358026e-07,0.20396236136880921,0.2,192,1.8998927593053125,0.9142169679656412,0.6532573801125177,0.35719626682181727
2,8,False,422.32982500002254,0.00012376898980425783,4.61955468541504e-05,0.3023719197466792,0.2,256,1.9284326725973164,0.8179768036774613,0.6263303571971209,0.4156458179170153
3,8,False,417.3233482000069,0.0003450768131156361,1.4347494710900565e-07,0.1981171912189044,0.2,256,2.285231768585234,0.8908543130459072,0.677522658162401,0.3404473776948862
4,8,False,313.8815155000193,0.00041561634102623703,2.4279683927009943e-06,0.37939878028178453,0.2,128,1.0550984801991896,0.9217748210739589,0.6273571779405906,0.3807648243344069
